DAM_ID,Project name,Continent,Country,Main_river,Major Basin,Capacity (MW),LAT_cleaned,Lon_Cleaned,Stage,Start,End,Reference 1,Reference 2,Reference 3
10,11E Chute (Rivière Mistassini),North America,Canada,Saguenay,St Lawrence,16,49.00208333,-72.457581,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
11,Val-Jalbert,North America,Canada,Saguenay,St Lawrence,16,48.3961085,-72.1663915,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
12,Chute-Garneau,North America,Canada,Saguenay,St Lawrence,5.3,48.383922,-71.13125,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
13,Manouane Sipi,North America,Canada,St.-Maurice,St Lawrence,22,47.58094483,-73.66072183,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
14,Hydro-Canyon Saint-Joachim,North America,Canada,Saint John,St Lawrence,23.2,47.081097,-70.868903,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
15,Saint-Gabriel,North America,Canada,St.-Maurice,St Lawrence,3.3,46.823878,-71.626122,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
16,Chutes De Sainte-Ursule,North America,Canada,,St Lawrence,1.8,46.294584,-73.082084,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
17,Murphy Creek,North America,Canada,Columbia,Columbia and Northwestern United States,275,49.15804117,-117.7252922,P,,,http://www.bchydro.com/etc/medialib/internet/documents,"Lee, P. G., Matt Hanneman and Ryan Cheng",
18,Elaho,North America,Canada,Fraser,Pacific and Arctic Coast 1,200,50.13416683,-123.4800002,P,,,http://www.bchydro.com/etc/medialib/internet/documents,"Lee, P. G., Matt Hanneman and Ryan Cheng",
19,Mcgregor Lower Canyon,North America,Canada,Fraser,Fraser,360,54.22291667,-121.776368,P,,,http://www.bchydro.com/etc/medialib/internet/documents,"Lee, P. G., Matt Hanneman and Ryan Cheng",
20,Border,North America,United States,Columbia,Columbia and Northwestern United States,275,48.98362,-117.6395833,P,,,http://www.bchydro.com/etc/medialib/internet/documents,"Lee, P. G., Matt Hanneman and Ryan Cheng",
21,Homathko River,North America,Canada,Nechako,Pacific and Arctic Coast 1,895,51.40208333,-124.561877,P,,,http://www.bchydro.com/etc/medialib/internet/documents,"Lee, P. G., Matt Hanneman and Ryan Cheng",
22,Liard River,North America,Canada,Liard,Mackenzie,4318,59.386524,-124.86616,P,,,http://www.bchydro.com/etc/medialib/internet/documents,"Lee, P. G., Matt Hanneman and Ryan Cheng",
23,Iskut River,North America,Canada,Stikine,Pacific and Arctic Coast 1,980,56.97003567,-130.3382977,P,,,http://www.bchydro.com/etc/medialib/internet/documents,"Lee, P. G., Matt Hanneman and Ryan Cheng",
24,Low Site E,North America,Canada,Peace,Mackenzie,675,56.11772667,-120.0656067,P,,,http://www.bchydro.com/etc/medialib/internet/documents,"Lee, P. G., Matt Hanneman and Ryan Cheng",
25,Dunvegan,North America,Canada,Peace,Mackenzie,100,55.927739,-118.640239,P,,,"http://www.ceaa.gc.ca/050/documents_staticpost/cearref_2996/166-06.pdf & Lee, P. G., Matt Hanneman and Ryan Cheng (2011","Lee, P. G., Matt Hanneman and Ryan Cheng",
26,Little Jackfish River,North America,Canada,,St Lawrence,78,50.401406,-88.31041667,P,2013,2016,http://www.littlejackfish.com/pdf/LJF_lower_map.pdf / canada pdf &/ http://www.littlejackfish.com/pdf/LJF_Project_description30Aug2011.pdf,,
27,Keeyask,North America,Canada,Nelson,Saskatchewan - Nelson,695,56.34949333,-95.17967333,U,,,World Atlas / http://keeyask.com/wp/the-project,,
30,Dillingham,North America,United States,Kuskokwim,Pacific and Arctic Coast 1,3.2,59.794762,-158.552999,P,,,http://www.hydroreform.org/projects/dillingham-p-14356,,
32,Allison Creek,North America,United States,Copper,Pacific and Arctic Coast 1,6.5,61.050642,-146.352425,P,,,WEC - http://www.worldenergy.org/documents/ser_2010_report_1.pdf,/ http://www.hydroreform.org/projects/allison-creek-p-13124,
33,Chikuminuk Lake,North America,United States,Kuskokwim,Pacific and Arctic Coast 1,13.4,60.174648,-158.747749,P,,,WEC - http://www.worldenergy.org/documents/ser_2010_report_1.pdf,,
34,Grant Lake,North America,United States,Susitna,Pacific and Arctic Coast 1,5,60.46127,-149.337291,P,,,WEC - http://www.worldenergy.org/documents/ser_2010_report_1.pdf /,http://www.kenaihydro.com/about_the_project/project_area.php,
35,Ruth Lake,North America,United States,Iliamna Lake Outlet,Pacific and Arctic Coast 1,20,57.582458,-156.134714,P,,,WEC - http://www.worldenergy.org/documents/ser_2010_report_1.pdf /,http://www.hydroreform.org/projects/ruth-lake-p-13366,
36,Scenery Lake,North America,United States,Stikine,Pacific and Arctic Coast 1,30,57.08060167,-132.7902317,P,,,WEC - http://www.worldenergy.org/documents/ser_2010_report_1.pdf /,http://www.hydroreform.org/projects/scenery-lake-p-13365,
37,Schubee Lake,North America,United States,,Pacific and Arctic Coast 1,4.9,59.39791667,-135.30625,P,,,WEC - http://www.worldenergy.org/documents/ser_2010_report_1.pdf,,
38,Soule,North America,United States,Skeena,Pacific and Arctic Coast 1,75,55.87099124,-130.1834912,P,,,WEC - http://www.worldenergy.org/documents/ser_2010_report_1.pdf /,http://www.hydroreform.org/projects/schubee-lake-p-13645,
39,Petit-Mécatina,North America,Canada,Churchill,St Lawrence,1200,50.86041667,-65.96875,P,,2026,World Atlas /,https://maps.google.ca/maps/ms?msa=0&msid=201101750506570570762.0004c84497fb28f311de2,http://www.hydroforthefuture.com/projets/9/developing-quebec-s-hydropower-potential
40,Magpie,North America,Canada,Churchill,St Lawrence,850,50.994134,-65.880866,P,,2026,World Atlas /,http://www.hydroquebec.com/publications/en/strategic_plan/pdf/plan-strategique-2009-2013.pdf,
41,Romaine 1,North America,Canada,Natashquan,Atlantic Ocean Seaboard,290,50.38453917,-63.26129417,U,,2016,http://en.wikipedia.org/wiki/List_of_electrical_generating_stations_in_Quebec,http://www.hydroquebec.com/romaine/pdf/ei_volume01.pdf,http://www.hydroquebec.com/publications/en/sd_action_plan/pdf/plan_action_dd.pdf
42,Romaine 2,North America,Canada,Natashquan,Atlantic Ocean Seaboard,640,50.62708333,-63.192802,U,,2014,http://en.wikipedia.org/wiki/List_of_electrical_generating_stations_in_Quebec,http://www.hydroquebec.com/romaine/pdf/ei_volume01.pdf,http://www.hydroquebec.com/publications/en/sd_action_plan/pdf/plan_action_dd.pdf
43,Romaine 3,North America,Canada,Natashquan,Atlantic Ocean Seaboard,395,51.11041667,-63.40004,U,,2017,http://en.wikipedia.org/wiki/List_of_electrical_generating_stations_in_Quebec,http://www.hydroquebec.com/romaine/pdf/ei_volume01.pdf,http://www.hydroquebec.com/publications/en/sd_action_plan/pdf/plan_action_dd.pdf
44,Romaine 4,North America,Canada,Natashquan,Atlantic Ocean Seaboard,245,51.35055583,-63.48388917,U,,2020,http://en.wikipedia.org/wiki/List_of_electrical_generating_stations_in_Quebec,http://www.hydroquebec.com/romaine/pdf/ei_volume01.pdf,http://www.hydroquebec.com/publications/en/sd_action_plan/pdf/plan_action_dd.pdf
45,Kokish Hydro Project,North America,Canada,Nechako,Pacific and Arctic Coast 2,45,50.45879517,-126.8120382,U,2012,2014,http://www.kokishriver.com/content/information_updates/construction_activity_update-34185.html,,
46,Pehonan,North America,Canada,Saskatchewan,Saskatchewan - Nelson,250,53.22291667,-104.693069,P,2016,,http://www.pehonanhydroelectric.com/content/information_centre/recent_news-3271.html,,
47,Amaila Falls S,South America,Guyana,Essequibo,"Northeast South America, South Atlantic Coast",165,5.38251883,-59.53414783,U,,2016,http://dams-info.org/en/dams/view/amailafalls (location) /,http://www.sitheglobal.com/projects/amaila.cfm,
48,Condor Cliff,South America,Argentina,Santa Cruz,"South Argentina, South Atlantic Coast",1140,-50.21458333,-70.77708333,P,,2017,p. petry coordinates /,Impsa.comhttp://www.impsa.com/es/descargas/hydro%20segunda%20toma/E%29%20CONDOR%20CLIFF%20Y%20LA%20BARRANCOSA.pdf,
49,La Barrancosa,South America,Argentina,Santa Cruz,"South Argentina, South Atlantic Coast",600,-50.18676017,-70.17842683,P,,2017,p. petry / http://www.impsa.com/es/descargas/hydro%20segunda%20toma/E%29%20CONDOR%20CLIFF%20Y%20LA%20BARRANCOSA.pdf,,
50,Alvarez Condarco (A Repotenciar),South America,Argentina,Rio Rapel,"South America, Colorado",42,-33.04791667,-68.98649825,P,,,http://www.mecon.gov.ar/,,
51,Aprov. Integ. Rio Negro - Cierre Allen,South America,Argentina,Negro,Negro,170,-39.03125,-67.855167,P,,,http://www.mecon.gov.ar/,,
52,Aprov. Integ. Rio Negro - Cierre Mainque,South America,Argentina,Negro,Negro,174.4,-39.09840533,-67.30673867,P,,,http://www.mecon.gov.ar/,,
53,Aprov. Integ. Rio Negro - Cierre Plottier,South America,Argentina,Limay,Negro,102,-38.98125,-68.22291667,P,,,http://www.mecon.gov.ar/,,
54,Aprov. Integ. Rio Negro - Cierre Roca,South America,Argentina,Negro,Negro,168,-39.11041667,-67.629948,P,,,http://www.mecon.gov.ar/,,
55,Aprov. Integ. Rio Negro - Cierre Senillosa,South America,Argentina,Limay,Negro,101,-39.0296045,-68.4296045,P,,,http://www.mecon.gov.ar/,,
56,Aprov. Integ. Rio Negro - Cierre Villa Regina,South America,Argentina,Negro,Negro,172,-39.16420183,-67.11496483,P,,,http://www.mecon.gov.ar/,,
57,Aprovechamiento Multiple Potrerillos,South America,Argentina,Rio Rapel,"South America, Colorado",27,-32.92884267,-69.21699067,P,,,http://www.mecon.gov.ar/,,
58,Arroyo Corto,South America,Argentina,Tercero,La Plata,5,-32.22083667,-64.56250333,P,,,http://www.mecon.gov.ar/,,
59,Cacheuta Nueva,South America,Argentina,Rio Rapel,"South America, Colorado",184.6,-33.01667,-69.11458333,P,,,http://www.mecon.gov.ar/,,
60,Cacique I,South America,Argentina,Rio Rapel,"South America, Colorado",2.64,-32.920304,-69.15625,P,,,http://www.mecon.gov.ar/,,
61,Canal Matriz - San Juan,South America,Argentina,San Juan,"South America, Colorado",1.8,-31.50625,-68.634832,P,,,http://www.mecon.gov.ar/,,
62,Central Del Lago,South America,Argentina,Bio-Bio,Negro,3,-39.25837167,-70.91253833,P,,,http://www.mecon.gov.ar/,,
63,Cerro Meson,South America,Argentina,Salado,La Plata,114,-34.48569576,-60.00208333,P,,,http://www.mecon.gov.ar/,,
64,Chihuido Ii,South America,Argentina,Neuquén,Negro,300,-38.58958167,-69.35625167,P,,,http://www.mecon.gov.ar/,,
65,Collon Cura,South America,Argentina,Limay,Negro,376,-40.29031064,-70.66458333,P,,,http://www.mecon.gov.ar/,,
66,Complejo Hidroel. Chilecito - Rio Agua Negra,South America,Argentina,San Juan,Salinas Grandes,1,-29.21312133,-67.69104533,P,,,http://www.mecon.gov.ar/,,
67,Complejo Hidroel. Chilecito - Rio Amarillo,South America,Argentina,San Juan,Salinas Grandes,3.1,-29.142866,-67.49791667,P,,,http://www.mecon.gov.ar/,,
68,Cuesta Del Viento,South America,Argentina,San Juan,"South America, Colorado",8.9,-30.20551767,-69.05281567,P,,,http://www.mecon.gov.ar/,,
69,El Baqueano,South America,Argentina,Colorado,"South America, Colorado",202.6,-34.56041667,-68.883419,P,,,http://www.mecon.gov.ar/,,
70,El Confin,South America,Argentina,Rio Rapel,"South America, Colorado",1.5,-32.920016,-69.15625,P,,,http://www.mecon.gov.ar/,,
71,El Dique,South America,Argentina,Rio Rapel,"South America, Colorado",4.5,-33.43541667,-69.50208333,P,,,http://www.mecon.gov.ar/,,
72,El Puesto,South America,Argentina,Rio Rapel,"South America, Colorado",1.74,-33.93541667,-69.20625,P,,,http://www.mecon.gov.ar/,,
73,El Sapo,South America,Argentina,Rio Rapel,"South America, Colorado",6,-33.70208333,-69.13456,P,,,http://www.mecon.gov.ar/,,
74,El Tambolar,South America,Argentina,San Juan,"South America, Colorado",70,-31.26250333,-69.12916333,P,,,http://www.mecon.gov.ar/,,
75,La Junta,South America,Argentina,Rio Rapel,"South America, Colorado",4.27,-33.23541667,-69.494362,P,,,http://www.mecon.gov.ar/,,
76,Lago Espejo,South America,Argentina,Limay,Negro,4,-40.60619965,-71.69796702,P,,,http://www.mecon.gov.ar/,,
77,Las Piedras,South America,Argentina,Rio Rapel,"South America, Colorado",1.8,-33.93541667,-69.22916667,P,,,http://www.mecon.gov.ar/,,
78,Las Tres Terrazas,South America,Argentina,Rio Rapel,"South America, Colorado",4.5,-33.43541667,-69.50208333,P,,,http://www.mecon.gov.ar/,,
79,Los Antiguos,South America,Argentina,Deseado,"South Chile, Pacific Coast",2.5,-46.667462,-71.59791667,P,,,http://www.mecon.gov.ar/,,
80,Los Blancos I,South America,Argentina,Rio Rapel,"South America, Colorado",324,-33.85208333,-69.45,P,,,http://www.mecon.gov.ar/,,
81,Los Blancos Ii,South America,Argentina,Rio Rapel,"South America, Colorado",158,-33.77382983,-69.26966317,P,,,http://www.mecon.gov.ar/,,
82,Manzano I,South America,Argentina,Rio Rapel,"South America, Colorado",2.25,-33.92001783,-69.33414883,P,,,http://www.mecon.gov.ar/,,
83,Michihuao,South America,Argentina,Limay,Negro,621,-39.81041667,-69.540024,P,,,http://www.mecon.gov.ar/,,
84,Nahueve,South America,Argentina,Neuquén,Negro,4,-37.187809,-70.68125,P,,,http://www.mecon.gov.ar/,,
85,Paraná Medio - Cierre Norte Los Vascos,South America,Argentina,Cuiaba,La Plata,3065.3,-29.445835,-59.579165,P,,,http://www.mecon.gov.ar/,,
86,Paraná Medio - Cierre Norte Pati,South America,Argentina,Cuiaba,La Plata,3120,-29.48958333,-59.55625,P,,,http://www.mecon.gov.ar/,,
87,Paraná Medio - Cierre Sur Chapeton,South America,Argentina,Cuiaba,La Plata,3000,-31.62291667,-60.36041667,P,,,http://www.mecon.gov.ar/,,
89,Punta Negra,South America,Argentina,San Juan,"South America, Colorado",62.2,-31.50625,-68.99791667,U,2015,,http://www.mecon.gov.ar/,,
90,Rio Anisacate,South America,Argentina,Tercero,Mar Chiquita,40,-31.71875,-64.41875,P,,,http://www.mecon.gov.ar/,,
91,Rio Carrenleufu - Cierre Frontera,South America,Argentina,Chubut,"South Chile, Pacific Coast",80,-43.55208333,-71.71667,P,,,http://www.mecon.gov.ar/,,
92,Rio Carrenleufu - Cierre Jaramillo,South America,Argentina,Chubut,"South Chile, Pacific Coast",24,-43.75208333,-71.22708333,P,,,http://www.mecon.gov.ar/,,
93,Rio Carrenleufu - Cierre La Caridad,South America,Argentina,Chubut,"South Chile, Pacific Coast",42,-43.71787597,-71.24045736,P,,,http://www.mecon.gov.ar/,,
94,Rio Carrenleufu - Cierre La Elena,South America,Argentina,Chubut,"South Chile, Pacific Coast",100,-43.70625,-71.29791667,P,,,http://www.mecon.gov.ar/,,
95,Rio Carrenleufu - Cierre Puesto Bustos,South America,Argentina,Chubut,"South Chile, Pacific Coast",115,-43.52708333,-71.667595,P,,,http://www.mecon.gov.ar/,,
96,Rio Chañarmuyo,South America,Argentina,Copiapó,Salinas Grandes,3.33,-29.00379983,-67.51286683,P,,,http://www.mecon.gov.ar/,,
97,Rio Frey,South America,Argentina,Chico,"South Chile, Pacific Coast",60,-42.90259983,-71.72656683,P,,,http://www.mecon.gov.ar/,,
98,Rio Grande- Cierre Bardas Blancas,South America,Argentina,Colorado,"South America, Colorado",120,-35.86250333,-69.82083667,P,,,http://www.mecon.gov.ar/,,
99,Rio Grande- Cierre La Estrechura,South America,Argentina,Colorado,"South America, Colorado",100,-35.32291667,-70.29375,P,,,http://www.mecon.gov.ar/,,
100,Rio Hielo,South America,Argentina,Chubut,"South Chile, Pacific Coast",100,-43.514291,-71.610709,P,,,http://www.mecon.gov.ar/,,
101,Rio La Leona,South America,Argentina,Santa Cruz,"South Argentina, South Atlantic Coast",240,-49.99917783,-72.09501117,P,,,http://www.mecon.gov.ar/,,
102,Rio Miranda,South America,Argentina,Copiapó,Salinas Grandes,1.82,-29.18036162,-67.64047172,P,,,http://www.mecon.gov.ar/,,
103,Rio Percey,South America,Argentina,Chubut,"South Chile, Pacific Coast",10,-43.31875,-71.47708333,P,,,http://www.mecon.gov.ar/,,
104,Rio Piray Guazu,South America,Argentina,Paraná,La Plata,69,-26.46875,-54.66875,P,,,http://www.mecon.gov.ar/,,
105,Rio Senguerr - Cierre Angostura,South America,Argentina,Chico,"South Argentina, South Atlantic Coast",18.2,-45.41250167,-69.90416833,P,,,http://www.mecon.gov.ar/,,
106,Rio Senguerr - Cierre La Salina,South America,Argentina,Chico,"South Argentina, South Atlantic Coast",200,-45.61875,-70.81667,P,,,http://www.mecon.gov.ar/,,
107,Rio Senguerr - Cierre Los Monos,South America,Argentina,Chico,"South Argentina, South Atlantic Coast",23.2,-46.00578133,-69.50161467,P,,,http://www.mecon.gov.ar/,,
108,Rio Senguerr - Cierre Pastos Blancos,South America,Argentina,Chico,"South Argentina, South Atlantic Coast",51.6,-45.36875,-70.8,P,,,http://www.mecon.gov.ar/,,
109,Rio Senguerr - Cierre Tamariscos,South America,Argentina,Chico,"South Argentina, South Atlantic Coast",12.4,-45.02707289,-70.09376044,P,,,http://www.mecon.gov.ar/,,
110,Rio Yaboty,South America,Argentina,Uruguay,La Plata,45,-27.14791667,-53.91667,P,,,http://www.mecon.gov.ar/,,
111,San Martin I - Neuquén,South America,Argentina,Limay,"South Chile, Pacific Coast",3,-40.19873517,-71.37209817,P,,,http://www.mecon.gov.ar/,,
112,Segunda Angostura,South America,Argentina,Limay,Negro,120,-40.94791667,-71.03958333,P,,,http://www.mecon.gov.ar/,,
113,Sistema Potrero Del Clavillo,South America,Argentina,Dulce,Mar Chiquita,52.7,-27.39791667,-65.96667,P,,,http://www.mecon.gov.ar/,,
114,Talhelum,South America,Argentina,Limay,Negro,240,-39.74999833,-70.93333167,P,,,http://www.mecon.gov.ar/,,
115,Valle De Uco,South America,Argentina,Rio Rapel,"South America, Colorado",158,-33.77537433,-69.27120767,P,,,http://www.mecon.gov.ar/,,
116,Zanja Del Tigre,South America,Argentina,Bermejo,La Plata,239.55,-23.170835,-64.195835,P,,,http://www.mecon.gov.ar/,,
117,Arenales,South America,Bolivia,Pilcomayo,La Plata,,-21.00208333,-64.59791667,P,,,http://www2.hidrocarburos.gob.bo/,,
118,Arrazayal,South America,Bolivia,Bermejo,La Plata,,-22.64431533,-64.43485133,P,,,http://www2.hidrocarburos.gob.bo/,,
119,Cambarã­,South America,Bolivia,Bermejo,La Plata,,-22.223744,-64.10625,P,,,http://www2.hidrocarburos.gob.bo/,,
120,Carrizal,South America,Bolivia,Pilcomayo,La Plata,,-20.966082,-65.121418,P,,,http://www2.hidrocarburos.gob.bo/,,
121,El Bala,South America,Bolivia,Beni,Amazon,,-14.547283,-67.49791667,P,,,http://www2.hidrocarburos.gob.bo/,,
122,El Pescado,South America,Bolivia,Pilcomayo,La Plata,,-21.14375,-64.359259,P,,,http://www2.hidrocarburos.gob.bo/,,
123,Esperanza,South America,Bolivia,Pilcomayo,La Plata,,-20.265568,-64.584432,P,,,http://www2.hidrocarburos.gob.bo/,,
124,Guajarã¡-Mirim,South America,Bolivia,Madeira,Amazon,,-10.166022,-65.30208333,P,,,http://www2.hidrocarburos.gob.bo/,,
125,Icla,South America,Bolivia,Pilcomayo,La Plata,,-19.426766,-64.85208333,P,,,http://www2.hidrocarburos.gob.bo/,,
126,Las Pavas,South America,Bolivia,Bermejo,La Plata,,-22.481008,-64.48125,P,,,http://www2.hidrocarburos.gob.bo/,,
127,Machigua,South America,Bolivia,Pilcomayo,La Plata,,-20.8569215,-64.1805785,P,,,http://www2.hidrocarburos.gob.bo/,,
128,San Josã©,South America,Bolivia,Pilcomayo,La Plata,,-19.81041667,-64.698273,P,,,http://www2.hidrocarburos.gob.bo/,,
129,Santa Elena,South America,Bolivia,Pilcomayo,La Plata,,-20.41727367,-64.55355967,P,,,http://www2.hidrocarburos.gob.bo/,,
130,Turuchipa,South America,Bolivia,Pilcomayo,La Plata,,-19.6381655,-64.7881655,P,,,http://www2.hidrocarburos.gob.bo/,,
131,Yuquirenda,South America,Bolivia,Pilcomayo,La Plata,,-21.19375,-63.7885,P,,,http://sigel.aneel.gov.br/sigel.html,,
132,Abranjo Ii,South America,Brazil,,"Uruguay - Brazil, South Atlantic Coast",1.75,-30.83180583,-52.59736083,P,,,http://sigel.aneel.gov.br/sigel.html,,
133,Abranjo I,South America,Brazil,,"Uruguay - Brazil, South Atlantic Coast",4.8,-30.79402767,-52.62680567,P,,,http://sigel.aneel.gov.br/sigel.html,,
134,Morrinhos,South America,Brazil,,"Uruguay - Brazil, South Atlantic Coast",2.25,-30.31875,-51.8644,P,,,http://sigel.aneel.gov.br/sigel.html,,
135,Rincão Ventura,South America,Brazil,Ibicuí,La Plata,4.5,-29.48125,-54.144167,P,,,http://sigel.aneel.gov.br/sigel.html,,
136,Rincão São Miguel,South America,Brazil,Ibicuí,La Plata,8.5,-29.453116,-54.090616,P,,2017,http://cdm.unfccc.int/Projects/DB/DNV-CUK1354514470.1/view,,
137,Cachoeira Cinco Veados,South America,Brazil,Ibicuí,La Plata,14.25,-29.418889,-54.05208333,P,,2017,http://cdm.unfccc.int/Projects/DB/DNV-CUK1354514470.1/view,,
138,Salto Do Guassupi,South America,Brazil,Ibicuí,La Plata,11,-29.4120835,-53.9995835,P,,2015,http://cdm.unfccc.int/Projects/DB/DNV-CUK1354514470.1/view,,
139,Laranjeiras,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",1.35,-29.38541667,-50.75,P,,,http://sigel.aneel.gov.br/sigel.html,,
140,Quebra Dentes,South America,Brazil,Ibicuí,La Plata,20,-29.36375,-54.01125,P,,,http://sigel.aneel.gov.br/sigel.html,,
141,Olaria,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",3.2,-29.16916683,-52.17249983,P,,,http://sigel.aneel.gov.br/sigel.html,,
142,Vale Do Leite,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",5.2,-29.143611,-52.18958333,P,,,http://sigel.aneel.gov.br/sigel.html,,
143,Vale Fundo,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",4.9,-29.12888917,-52.19194417,P,,,http://sigel.aneel.gov.br/sigel.html,,
144,Moinho Velho,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",3.6,-29.1025925,-52.2025925,P,,,http://sigel.aneel.gov.br/sigel.html,,
145,Rastro De Auto,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",7.02,-29.06291667,-52.21708333,U,,,http://sigel.aneel.gov.br/sigel.html,,
146,Do Bico,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",6.5,-29.03530533,-51.10636133,P,,,http://sigel.aneel.gov.br/sigel.html,,
147,São Jacó,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",1.2,-29.03541667,-51.067778,P,,,http://sigel.aneel.gov.br/sigel.html,,
148,Foz Do Jacutinga,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",4.9,-29.0309725,-52.2184725,P,,,http://sigel.aneel.gov.br/sigel.html,,
149,Cazuza Ferreira (Ampliação),South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",9.1,-29.01875033,-50.71458367,P,,,http://sigel.aneel.gov.br/sigel.html,,
150,Grotão,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",5.2,-29.01875,-50.23541667,P,,,http://sigel.aneel.gov.br/sigel.html,,
151,Riachuello (Monte Bérico),South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",8.7,-28.9993055,-51.1243055,P,,,http://sigel.aneel.gov.br/sigel.html,,
152,Santo Henrique (Santo Antônio),South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",2.25,-28.97097217,-51.14986117,P,,,http://sigel.aneel.gov.br/sigel.html,,
153,Monte Cuco,South America,Brazil,Paraná,La Plata,30,-20.14791667,-51.90625,P,,,http://sigel.aneel.gov.br/sigel.html,,
154,Usina Do Chapéu,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",1.9,-28.913333,-50.27708333,P,,,http://sigel.aneel.gov.br/sigel.html,,
155,Autódromo,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",24,-28.82527767,-51.84194433,U,,,http://sigel.aneel.gov.br/sigel.html,,
156,Pulador,South America,Brazil,Uruguay,"Uruguay - Brazil, South Atlantic Coast",6.4,-28.80791667,-52.06208333,P,,,http://sigel.aneel.gov.br/sigel.html,,
